City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Eureka,US,40.8021,-124.1637,61.2,87,100,5.01,overcast clouds
167,Mongoumba,CF,3.6415,18.5936,80.15,50,85,5.41,overcast clouds
168,Souillac,MU,-20.5167,57.5167,79.18,94,75,11.5,broken clouds
169,Puerto Lopez,CO,4.0845,-72.956,86.32,53,77,3.0,broken clouds
170,Saskylakh,RU,71.9167,114.0833,-31.13,100,72,4.59,broken clouds
171,Twin Falls,US,42.3505,-114.6445,57.54,47,0,8.05,clear sky
172,Gelemso,ET,8.8167,40.5167,61.92,38,0,2.28,clear sky
173,Gat,IL,31.61,34.7642,63.81,32,100,9.95,overcast clouds
174,Llata,PE,-9.4167,-76.7833,54.57,85,99,3.22,overcast clouds
175,Linqiong,CN,30.4159,103.4609,49.82,80,87,2.59,overcast clouds
176,Kruisfontein,ZA,-34.0033,24.7314,62.89,74,0,4.74,clear sky
177,Pau Dos Ferros,BR,-6.1125,-38.2063,81.37,59,26,7.99,scattered clouds
178,Tazovskiy,RU,67.4667,78.7,-19.73,99,100,3.18,overcast clouds
179,Port Hedland,AU,-20.3167,118.5667,82.45,69,100,8.05,overcast clouds
180,Norman Wells,CA,65.282,-126.8329,8.64,61,75,14.97,broken clouds
181,Granada,ES,37.25,-3.25,48.45,75,71,4.43,broken clouds
182,Banjar,ID,-8.19,114.9675,78.66,93,96,3.13,overcast clouds
183,Zhongshu,CN,24.5167,103.7667,48.16,95,11,5.01,few clouds
184,Lubango,AO,-14.9172,13.4925,60.75,87,100,2.3,overcast clouds
185,Durusu,TR,41.3053,28.6767,40.84,83,100,14.0,overcast clouds
186,Lashio,MM,22.9333,97.75,51.01,52,7,2.06,clear sky
187,Burnie,AU,-41.0667,145.9167,69.93,89,92,14.61,overcast clouds
188,Innisfail,AU,-17.5333,146.0333,81.12,73,70,3.29,broken clouds
189,Kavieng,PG,-2.5744,150.7967,81.28,78,100,6.62,overcast clouds
190,Upernavik,GL,72.7868,-56.1549,-7.8,87,67,6.38,broken clouds
191,Gornopravdinsk,RU,60.05,69.9,28.67,92,100,10.89,overcast clouds
192,Saint Anthony,US,45.0205,-93.218,33.73,56,40,13.8,scattered clouds
193,Ulu-Telyak,RU,54.9086,56.9669,26.92,88,99,6.85,overcast clouds
194,Lazaro Cardenas,MX,17.9583,-102.2,82.6,53,0,11.95,clear sky
195,Sarany,RU,58.5,58.8833,20.79,97,100,10.09,overcast clouds
196,Kutum,SD,14.2,24.6667,73.63,13,97,8.21,overcast clouds
197,Xuanhua,CN,40.6103,115.0447,31.48,40,25,3.56,scattered clouds
198,Bogorodskoye,RU,56.55,37.8833,28.09,98,100,3.78,overcast clouds
199,Poum,NC,-20.2333,164.0167,81.39,72,100,7.87,overcast clouds
200,Ola,RU,59.5833,151.2833,10.36,78,100,13.67,overcast clouds
201,Juba,SS,4.8517,31.5825,82.17,42,43,4.09,scattered clouds
202,Ngunguru,NZ,-35.6167,174.5,71.17,70,99,22.97,overcast clouds
203,Ulaanbaatar,MN,47.9077,106.8832,5.13,72,0,2.24,clear sky
204,Uribia,CO,11.7139,-72.266,85.64,53,97,18.37,overcast clouds
205,Belmonte,BR,-15.8631,-38.8828,81.1,83,100,6.96,overcast clouds
206,Arlit,NE,18.7369,7.3853,80.87,8,8,7.05,clear sky
207,Cidreira,BR,-30.1811,-50.2056,75.6,91,8,10.83,clear sky
208,Kolosovka,RU,56.4678,73.611,16.05,89,57,15.08,broken clouds
209,Carnarvon,AU,-24.8667,113.6333,66.27,55,0,23.02,clear sky
210,Esna,EG,25.2934,32.554,71.91,13,4,7.02,clear sky
211,Fortuna,US,40.5982,-124.1573,65.19,81,75,9.22,broken clouds
212,Maceio,BR,-9.6658,-35.7353,80.04,83,40,6.91,scattered clouds
213,Sabratah,LY,32.7933,12.4885,51.48,61,1,1.79,clear sky
214,Kanashevo,RU,55.2169,62.0634,16.36,96,75,5.44,broken clouds
215,Kurumkan,RU,54.3,110.3,7.65,95,96,4.16,overcast clouds
216,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,65,20,18.41,few clouds
217,Airai,TL,-8.9266,125.4092,65.26,81,15,1.68,few clouds
218,Pochutla,MX,15.7432,-96.4661,85.82,52,17,7.38,few clouds
219,Bengkulu,ID,-3.8004,102.2655,74.98,88,70,3.49,broken clouds
220,Bac Lieu,VN,9.285,105.7244,79.3,79,99,14.72,overcast clouds
221,Klaksvik,FO,62.2266,-6.589,41.92,85,95,35.5,overcast clouds
222,Ribeira Grande,PT,38.5167,-28.7,58.48,59,79,10.63,broken clouds
223,Pevek,RU,69.7008,170.3133,-16.04,100,97,3.94,overcast clouds
224,Sechura,PE,-5.5569,-80.8222,76.98,64,74,12.44,broken clouds
225,Hamilton,US,39.1834,-84.5333,67.05,40,20,10.36,few clouds
226,La Ronge,CA,55.1001,-105.2842,7.05,30,0,9.22,clear sky
227,Chimbarongo,CL,-34.7,-71.05,88.68,33,0,4.54,clear sky
228,Toro,CO,4.6117,-76.0814,74.08,91,95,2.8,overcast clouds
229,Yumen,CN,40.2833,97.2,31.66,34,68,14.72,broken clouds
230,Sawtell,AU,-30.3833,153.1,73.42,78,30,6.91,scattered clouds
231,Sao Jose Do Campestre,BR,-6.3156,-35.7139,81.16,79,100,8.1,overcast clouds
232,Pokhara,NP,28.2333,83.9833,55.27,51,1,6.26,clear sky
233,Nuuk,GL,64.1835,-51.7216,21.81,79,75,29.93,heavy snow
234,Iqaluit,CA,63.7506,-68.5145,-5.31,70,100,17.27,overcast clouds
235,Henties Bay,NA,-22.116,14.2845,62.85,88,25,7.29,scattered clouds
236,Banda Aceh,ID,5.5577,95.3222,79.18,78,100,5.86,overcast clouds
237,Tonj,SS,7.2737,28.6822,83.88,46,99,2.86,overcast clouds
238,Nyurba,RU,63.2842,118.3319,-3.03,97,100,5.97,overcast clouds
239,Rawson,AR,-43.3002,-65.1023,72.77,44,1,9.04,clear sky
240,Verkhnyaya Inta,RU,65.9811,60.3094,29.07,96,100,22.93,snow
241,Pirovskoye,RU,57.6267,92.2658,7.84,89,100,12.5,overcast clouds
242,Warmbad,NA,-28.45,18.7333,70.84,53,2,12.44,clear sky
243,Yulara,AU,-25.2406,130.9889,82.24,47,87,9.22,overcast clouds
244,Bethel,US,41.3712,-73.414,48.0,50,0,8.05,clear sky
245,Campo Verde,BR,-20.4167,-54.0667,81.61,90,98,5.23,overcast clouds
246,Quatre Cocos,MU,-20.2078,57.7625,78.91,86,51,11.65,light rain
247,Mount Isa,AU,-20.7333,139.5,76.77,29,6,0.0,clear sky
248,Talara,PE,-4.5772,-81.2719,81.36,61,40,10.36,scattered clouds
249,Ambilobe,MG,-13.2,49.05,74.26,96,100,3.47,light rain
250,Gualeguay,AR,-33.1416,-59.3097,74.25,57,0,7.11,clear sky
251,Cabo San Lucas,MX,22.8909,-109.9124,86.5,29,0,9.22,clear sky
252,Ambon,ID,-3.6954,128.1814,77.14,94,40,9.22,scattered clouds
253,Rivers,CA,50.0308,-100.2403,0.55,90,94,4.68,overcast clouds
254,Magadan,RU,59.5667,150.8,11.37,75,100,11.61,overcast clouds
255,Ayagoz,KZ,47.9714,80.4392,-3.41,100,57,7.23,broken clouds
256,Nemuro,JP,43.3236,145.575,28.02,82,67,7.78,broken clouds
257,Codrington,AU,-38.2667,141.9667,74.97,59,4,5.1,clear sky
258,Qandala,SO,11.472,49.8728,76.21,54,5,5.46,clear sky
259,Kasongo-Lunda,CD,-6.4667,16.8167,71.56,93,94,0.56,light rain
260,Fairbanks,US,64.8378,-147.7164,30.81,81,40,3.44,scattered clouds
261,Aripuana,BR,-9.1667,-60.6333,74.53,97,97,0.51,overcast clouds
262,Ewa Beach,US,21.3156,-158.0072,82.35,59,20,11.5,few clouds
263,Luanda,AO,-8.8368,13.2343,79.83,84,52,7.54,broken clouds
264,Nouadhibou,MR,20.931,-17.0347,67.98,73,0,24.16,clear sky
265,Radford,US,37.1318,-80.5764,69.08,31,0,10.36,clear sky
266,Severo-Kurilsk,RU,50.6789,156.125,24.58,78,98,28.41,light snow
267,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,72,20,14.97,few clouds
268,Camacha,PT,33.0833,-16.3333,61.56,82,40,11.5,scattered clouds
269,Lichinga,MZ,-13.3128,35.2406,60.35,95,100,3.78,overcast clouds
270,Sept-Iles,CA,50.2001,-66.3821,18.12,84,40,6.91,scattered clouds
271,Belaya Gora,RU,68.5333,146.4167,-16.55,97,100,2.46,overcast clouds
